,subject,new_relation,object
1013,akt,gene_gene,erk
1014,antibody,gene_gene,akt
1015,anti-tubulin antibody,gene_gene,akt
1017,rv infection,disease_treat_procedure,presence
1018,u0126,drug_gene,pi3k
1019,capsid gene,gene_gene,orf
1020,cr,disease_gene,rare
1021,cr,disease_treat_procedure,expression
1022,mem,drug_treat_procedure,presence
1024,induction,treat_procedure_disease,virus infection
1026,hsp90,gene_gene,upr
1031,intervention,treat_procedure_treat_procedure,isolation
1032,administration,treat_procedure_disease,lower
1033,revision surgery,treat_procedure_disease,rm
1034,trauma,disease_treat_procedure,surgical
1035,aim,treat_procedure_treat_procedure,conservative treatment
1037,aim,treat_procedure_treat_procedure,treatment
1039,kidney injury,disease_treat_procedure,chronic dialysis
1040,kidney injury,disease_treat_procedure,dialysis
1041,loop,gene_treat_procedure,resected
1042,hemorrhagic shock,disease_treat_procedure,treatment
1043,shock,disease_treat_procedure,treatment
1044,common procedure,treat_procedure_treat_procedure,right hemicolectomy
1045,common procedure,treat_procedure_treat_procedure,hemicolectomy
1046,injury,disease_disease,pneumothorax
1047,treatment,treat_procedure_treat_procedure,tube thoracostomy
1050,therapy,treat_procedure_treat_procedure,range of motion
1051,physical therapy,treat_procedure_treat_procedure,range of motion
1054,laparotomy,treat_procedure_species,patient
1055,drainage,symptom_disease,pneumothorax
1056,trs,disease_treat_procedure,stretching
1060,discomfort,symptom_disease,gastroesophageal reflux
1061,hernia,disease_disease,type
1063,he,disease_treat_procedure,hemostasis
1065,mass,symptom_treat_procedure,exploration
1066,she,gene_symptom,fever
1067,gist,disease_symptom,acute abdomen
1068,cholecystectomy,treat_procedure_treat_procedure,intervention
1069,ct,drug_disease,acute appendicitis
1070,ct,drug_disease,appendicitis
1071,he,disease_disease,syndrome
1073,he,disease_disease,hepatorenal syndrome
1074,he,disease_disease,compartmental syndrome
1075,peritonitis,disease_treat_procedure,surgery
1076,asa,gene_disease,high
1078,necrosis,disease_gene,12
1079,aim,treat_procedure_species,patient
1081,she,gene_symptom,cough
1082,abscess,disease_disease,inflammation
1083,presence,treat_procedure_disease,ld
1085,pneumoperitoneum,treat_procedure_disease,leukocytosis
1086,treatment,treat_procedure_drug,prednisolone
1087,atorvastatin,drug_disease,collagen deposition
1092,he,disease_treat_procedure,range of motion
1094,treatment,treat_procedure_treat_procedure,debridement
1095,primary treatment,treat_procedure_treat_procedure,debridement
1096,internal fixation,treat_procedure_treat_procedure,creation
1097,fixation,treat_procedure_treat_procedure,creation
1098,she,gene_treat_procedure,skin graft
1100,surgical,treat_procedure_treat_procedure,procedure
1101,gentamicin,drug_disease,blood
1102,reduction,treat_procedure_disease,cortex
1103,application,treat_procedure_disease,injury
1104,arthrosis,disease_treat_procedure,treatment
1105,fixation,treat_procedure_treat_procedure,open reduction
1107,fixation,treat_procedure_treat_procedure,reduction
1109,immobilization,treat_procedure_treat_procedure,stabilization
1110,treatment,treat_procedure_treat_procedure,osteosynthesis
1111,osteotomy,treat_procedure_disease,anterior
1112,osteotomy,treat_procedure_treat_procedure,formula
1113,anterior,disease_treat_procedure,formula
1114,group 2,gene_species,patient
1115,group 2,gene_treat_procedure,debridement
1116,hip pain,symptom_treat_procedure,drug therapy
1117,dc,gene_species,patient
1118,impact,gene_disease,coagulopathy
1119,discharge,symptom_disease,go
1120,treatment,treat_procedure_disease,injury
1121,pi,gene_gene,air
1122,pi,gene_symptom,gas
1123,pi,gene_drug,ct
1124,frailty,disease_species,patient
1125,transfusion,treat_procedure_treat_procedure,transfusion
1129,impact,gene_treat_procedure,reduction
1130,surgery,treat_procedure_disease,small bowel
1133,injury,disease_disease,diaphragm
1134,intussusception,disease_disease,bowel ischemia
1135,infiltration,treat_procedure_treat_procedure,treatment
1136,prosthesis,treat_procedure_treat_procedure,repair
1137,chylothorax,disease_symptom,drainage
1146,disease,disease_species,livestock
1147,impact,gene_species,boar
1150,ad,disease_disease,suid alphaherpesvirus 1
1151,csf,gene_disease,contagious disease
1153,pcv,drug_disease,virus
1154,pmws,disease_species,pig
1155,major,disease_drug,ppv
1156,air,gene_gene,host
1159,covid-19,disease_disease,liver
1162,canine hepacivirus,disease_disease,infection
1163,canine hepacivirus,disease_disease,pulmonary infection
1164,hepacivirus,disease_disease,infection
1165,hepacivirus,disease_disease,pulmonary infection
1167,cough,symptom_disease,disease
1178,antigen,gene_gene,cell surface
1180,pneumocytes,gene_disease,small intestine
1181,rbm,gene_drug,li
1182,allele,gene_gene,trait
1186,coinfection,disease_species,prrsv
1187,fitted,symptom_symptom,fitted
1191,moxifloxacin,drug_drug,oseltamivir
1192,breathlessness,symptom_symptom,dry cough
1193,breathlessness,symptom_symptom,cough
1195,oxygen therapy,treat_procedure_treat_procedure,regimen
1197,urine protein,gene_treat_procedure,treatment
1198,urine protein,gene_disease,lower
1201,flua,gene_treat_procedure,detected
1214,metapneumovirus,disease_species,coronaviruses
1215,human metapneumovirus,disease_species,coronaviruses
1216,bocaviruses,disease_disease,bovine parvovirus
1217,bocaviruses,disease_species,parvovirus
1220,hbov,disease_drug,ari
1225,glycosyltransferases,gene_gene,set
1226,urgency,disease_treat_procedure,symptom management
1227,statin,gene_gene,nitric oxide synthase
1228,statin,gene_gene,endothelial nitric oxide synthase
1231,activator protein 1,gene_treat_procedure,expression
1232,statin,drug_treat_procedure,treatment
1235,simvastatin,drug_treat_procedure,expression
1237,prophylaxis,treat_procedure_drug,statin
1287,depression,disease_disease,high
1299,infection,disease_disease,hospital acquired infection
1300,antibody,gene_treat_procedure,stimulation
1301,antibody,gene_gene,body
1304,acute disease,disease_disease,infectious
1306,measles,disease_disease,virus
1307,measles,disease_disease,disease caused by virus
1308,measles,disease_disease,acute disease
1310,nerve deafness,disease_species,person
1311,neuritis,disease_species,person
1312,nephritis,disease_species,person
1313,pericarditis,disease_gene,rare
1314,thyroiditis,disease_species,person
1316,pericarditis,disease_species,person
1320,vaccine,disease_disease,injury
1323,brucellosis,disease_species,goat
1326,brucellosis,disease_species,dog
1327,brucellosis,disease_species,pig
1330,disease,disease_species,goat
1331,tapeworm,disease_species,crustacean
1332,tapeworm,disease_species,human
1333,tapeworm,disease_gene,fish
1334,fever,symptom_disease,disease
1335,fever,symptom_disease,tick borne disease
1336,fever,symptom_species,coxiella burnetii
1337,illness,disease_disease,polyarthritis
1338,leishmaniasis,disease_disease,chronic disease
1340,leishmaniasis,disease_disease,systemic disease
1341,parasite,disease_symptom,fever
1342,visceral leishmaniasis,disease_disease,chronic disease
1343,visceral leishmaniasis,disease_disease,disease
1344,visceral leishmaniasis,disease_disease,systemic disease
1345,treatment,treat_procedure_disease,chronic
1346,scabies,disease_disease,louse
1348,leprosy,disease_species,chlamydia trachomatis
1349,discharge,symptom_symptom,pain
1350,urethral discharge,symptom_symptom,pain
1351,trichomoniasis,disease_symptom,discharge
1352,treatment,treat_procedure_treat_procedure,prevention
1353,epidemic,disease_species,men
1354,cholera,disease_disease,bacterial disease
1355,cholera,disease_disease,acute disease
1357,cholera,disease_disease,enteric disease
1358,acute gastroenteritis,disease_species,infant
1359,iron,drug_disease,anemia
1363,phosphoprotein,gene_disease,helix
1364,ns5a,gene_gene,phosphoprotein
1372,zoonotic disease,disease_species,human
1377,2b,gene_gene,pore
1379,nsp3,gene_disease,disorder
1381,ns4b,gene_gene,protein
1383,brefeldin a,drug_drug,drug
1387,fhv,disease_disease,virus
1388,protein,gene_disease,bmv
1389,alphavirus,disease_disease,virus
1390,cypa,gene_species,hiv
1391,cypa,gene_gene,p33
1392,pi4p,gene_gene,polymerase 3d
1393,he,disease_disease,hemorrhage
1399,viral infection,disease_disease,lung
1401,urgent,treat_procedure_treat_procedure,surgery
1409,polybrene,drug_disease,infection
1411,ap,drug_species,hcvcc
1412,hepatocytes,gene_disease,infection
1415,infection,disease_disease,chronic hepatitis
1422,body,gene_gene,fish
1423,fatty acid,drug_drug,acetate
1424,acid,drug_drug,vitamin a
1425,retinoic acid,drug_drug,vitamin a
1428,mental health,disease_gene,impact
1431,n protein,gene_gene,ntd
1432,aim,treat_procedure_disease,mental health
1437,colony,gene_species,e.coli bl21
1444,expression,treat_procedure_gene,gfp
1460,non-invasive ventilation,treat_procedure_disease,hypoxemia
1463,cp,drug_gene,gfp
1464,cp,drug_gene,protein
1465,cp,drug_gene,fluorescent protein
1469,rst,gene_disease,ed
1470,rna,disease_disease,ed
1471,cdna,gene_disease,ed
1472,monoclonal antibody,drug_drug,ct
1473,antibody,gene_drug,ct
1474,ct,drug_symptom,mass
1475,anaesthesia,symptom_drug,isoflurane
1476,anaemia,disease_disease,thrombocytopenia
1480,pyogranulomatous lesion,disease_treat_procedure,detected
1481,reduction,treat_procedure_disease,arrest
1482,reduction,treat_procedure_disease,cardiac arrest
1484,reduction,treat_procedure_disease,viral infection
1500,immunodeficiency,disease_species,cat
1513,critical,disease_treat_procedure,presence
1514,severe,disease_treat_procedure,presence
1515,reduction,treat_procedure_species,coronavirus
1527,ccv,drug_gene,antibody
1528,ccv,drug_gene,panda
1529,oral administration,treat_procedure_drug,berberine
1530,niclosamide,drug_disease,cancer
1531,gap,gene_treat_procedure,urgent
1532,depression,disease_disease,epidemic
1534,virus infection,disease_disease,brain
1538,s2 domain,gene_gene,antibody
1539,serum,gene_disease,lower
1542,polypeptide,gene_gene,dnase
1545,covid-19,disease_gene,cell
1548,cough,symptom_drug,bradykinin
1549,ards,disease_disease,inflammatory
1550,ards,disease_disease,acute
1554,monotherapy,treat_procedure_drug,ar
1555,chemotherapy,treat_procedure_drug,ar
1556,combination chemotherapy,treat_procedure_drug,ar
1557,prophylaxis,treat_procedure_drug,ar
1558,treatment,treat_procedure_drug,ar
1562,vaccination,treat_procedure_drug,ar
1567,ltb,drug_species,mouse
1569,ltb,drug_disease,diphtheria toxoid
1571,ltb,drug_gene,nucleus
1572,gene,gene_drug,spectinomycin
1573,ltb,drug_treat_procedure,folding
1586,treatment,treat_procedure_drug,r848
1587,r848,drug_gene,gene
1588,r848,drug_gene,pm
1589,gene,gene_drug,r848
1593,r848,drug_treat_procedure,expression
1595,pain,symptom_symptom,vomiting
1596,abdominal pain,symptom_symptom,vomiting
1599,corticosteroid,drug_disease,nephritis
1600,haematuria,disease_disease,proteinuria
1601,kd,disease_disease,acute
1602,arthritis,disease_symptom,dysuria
1603,arthritis,disease_disease,uveitis
1605,arthritis,disease_disease,pneumonitis
1606,arthritis,disease_disease,meatitis
1611,arthritis,disease_disease,gastroenteritis
1639,cardiac tamponade,disease_disease,myocarditis
1640,cardiac tamponade,disease_disease,cardiac failure
1641,tamponade,treat_procedure_disease,myocarditis
1643,tamponade,treat_procedure_disease,cardiac failure
1655,macrophage activation syndrome,disease_disease,syndrome
1656,macrophage activation syndrome,disease_disease,kd
1663,vasculitis,disease_disease,glomerulonephritis
1664,vasculitis,disease_disease,inflammation
1665,cs,disease_species,child
1666,s glycoprotein,gene_gene,hemagglutinin
1667,infiltration,treat_procedure_disease,interstitial pneumonia
1668,infiltration,treat_procedure_disease,pneumonia
1669,viremia,disease_gene,damage
1672,cov infection,disease_disease,viral
1675,trade,gene_disease,smallpox
1676,impact,gene_disease,terrorism
1683,virus,disease_species,sars cov
1684,uda,drug_species,sars cov
1687,sars cov infection,disease_species,sars
1688,uda,drug_drug,mem
1702,lung failure,disease_disease,injury
1703,lung failure,disease_disease,immune injury
1706,cd209l,gene_species,sars cov
1710,igg,gene_drug,biotin
1711,igg,gene_gene,antibody
1714,treatment,treat_procedure_drug,thiol
1718,h1n1,drug_disease,2009
1722,liver necrosis,disease_disease,hemorrhage
1723,diarrhea,symptom_disease,calicivirus
1724,gastroenteritis,disease_species,cat
1725,caliciviruses,disease_disease,gastroenteritis
1726,caliciviruses,disease_treat_procedure,detected
1728,disease,disease_species,measles
1747,finding,symptom_disease,pe
1752,coughing,symptom_treat_procedure,reduction
1753,coughing,symptom_symptom,nasal discharge
1754,coughing,symptom_disease,loss of appetite
1755,coughing,symptom_symptom,discharge
1758,coughing,symptom_symptom,sneezing
1763,aminopeptidase n,gene_drug,ibv
1764,feline aminopeptidase n,gene_drug,ibv
1766,infection,disease_species,bcv
1767,change,treat_procedure_species,bcv
1772,type,disease_species,patient
1773,severe acute respiratory syndrome coronavirus,disease_disease,ade
1774,syndrome coronavirus,disease_disease,ade
1775,respiratory syndrome coronavirus,disease_disease,ade
1776,acute respiratory syndrome coronavirus,disease_disease,ade
1777,antibody,gene_disease,relapse
1779,igm,gene_gene,end
1780,reduction,treat_procedure_species,sars cov
1781,pandemic,disease_species,coronaviruses
1782,isolation,treat_procedure_disease,sars cov infection
1784,protein,gene_gene,orf4a
1786,he,disease_treat_procedure,extracorporeal membrane oxygenation
1788,antibody,gene_species,mers
1789,chimpanzee adenovirus,disease_gene,spike protein
1790,vaccine,disease_gene,past
1794,env,gene_species,influenza
1795,env,gene_species,hiv
1796,hemagglutinin,gene_species,influenza
1799,subgroup,disease_disease,respiratory symptom
1805,subgroup,disease_disease,lymphocytopenia
1810,red blood cell,gene_species,patient
1811,blood cell,gene_species,patient
1812,change,treat_procedure_disease,community
1814,community,disease_disease,epidemic
1816,cardiac fibrosis,disease_disease,hypertrophy
1817,cardiac fibrosis,disease_disease,ventricular hypertrophy
1818,fibrosis,disease_disease,hypertrophy
1820,fibrosis,disease_disease,ventricular hypertrophy
1828,hypertension,disease_disease,kidney failure
1829,arterial hypertension,disease_disease,kidney failure
1830,arterial hypertension,disease_disease,cardiac hypertrophy
1831,arterial hypertension,disease_disease,hypertrophy
1846,cachexia,disease_disease,syndrome
1847,cachexia,disease_disease,clinical syndrome
1848,dysfunction,disease_disease,hypertension
1849,endothelial dysfunction,disease_disease,hypertension
1856,hypertrophy,disease_treat_procedure,reduction
1858,intravenous administration,treat_procedure_drug,superoxide
1860,therapeutic exercise,treat_procedure_disease,neutrophilia
1861,exercise,treat_procedure_disease,neutrophilia
1862,albuminuria,disease_disease,severe
1863,expression,treat_procedure_treat_procedure,endurance exercise
1864,preoperative chemotherapy,treat_procedure_gene,impact
1865,pressurized intraperitoneal aerosol chemotherapy,treat_procedure_treat_procedure,palliative care
1868,systemic chemotherapy,treat_procedure_disease,epidemic
1869,chemotherapy,treat_procedure_disease,disease
1870,variola virus,disease_disease,smallpox
1871,impact,gene_treat_procedure,intervention
1873,transport,gene_disease,pig disease
1874,asf,disease_species,fmd
1876,coronaviruses,disease_disease,syndrome
1877,deficiency,disease_species,human
1878,virus,disease_drug,peptide
1881,rv,drug_disease,bacterial infection
1883,rv,drug_disease,infection
1886,infection,disease_species,influenza
1887,influenza vaccination,treat_procedure_species,person
1888,alum,drug_species,influenza virus
1889,zanamivir,drug_gene,neuraminidase
1890,acid,drug_gene,neuraminidase
1891,drug,drug_gene,antiviral
1895,presence,treat_procedure_drug,rsv
1897,rsv,drug_species,influenza
1898,rsv,drug_species,person
1901,rsv,drug_gene,impact
1903,vaccine,disease_treat_procedure,induction
1906,piv,disease_species,influenza virus
1908,formalin,drug_treat_procedure,immunization
1911,hoarseness,symptom_symptom,illness
1915,illness,symptom_species,coronavirus
1916,respiratory infection,disease_species,respiratory syncytial virus
1919,ibv n protein,gene_gene,leader trs
1921,rna,disease_gene,mabs
1922,mabs,gene_disease,right
1928,folding,treat_procedure_disease,rna
1932,n protein,gene_treat_procedure,folding
1938,recombinant protein,gene_gene,mab
1939,protein,gene_gene,mab
1943,esophagitis,disease_symptom,abdominal pain
1944,esophagitis,disease_symptom,pain
1948,disease,disease_disease,me
1949,discussion,treat_procedure_drug,nicotine
1951,renal injury,disease_disease,covid-19
1953,critical illness,disease_disease,hypercoagulable state
1954,illness,symptom_treat_procedure,immobilization
1955,critical illness,disease_treat_procedure,immobilization
1957,illness,symptom_disease,hypercoagulable state
1958,laboratory abnormality,disease_disease,coagulopathy
1965,direct infection,disease_disease,lymphocytopenia
1968,cd46,gene_species,measles virus
1976,presence,treat_procedure_disease,consumption
1977,isolation,treat_procedure_disease,acute respiratory disease
1978,isolation,treat_procedure_disease,acute disease
1979,isolation,treat_procedure_disease,respiratory disease
1980,isolation,treat_procedure_disease,disease
1984,nervousness,symptom_disease,infection
1986,epidemic,disease_disease,psychological distress
1988,community,disease_species,people
1990,cough,symptom_treat_procedure,detected
1991,fatty acid,drug_drug,ester
1992,fatty acid,drug_drug,glycerol
1996,fatty acid,drug_gene,fc receptor
1997,acid,drug_gene,fc receptor
1998,amino acid,drug_gene,el
1999,immunoglobulin,gene_drug,fatty acid
2009,niclosamide,drug_species,influenza virus
2024,chronic hepatitis,disease_gene,interferon
2025,ic,disease_disease,ic
2031,ct,drug_disease,lung
2032,consolidation,disease_disease,bronchiectasis
2033,ct,drug_disease,consolidation
2036,consolidation,disease_gene,pattern
2037,myocarditis,disease_disease,inflammation
2044,intubation,treat_procedure_symptom,increased work of breathing
2045,endotracheal intubation,treat_procedure_symptom,increased work of breathing
2046,intubation,treat_procedure_disease,work of breathing
2047,endotracheal intubation,treat_procedure_disease,work of breathing
2049,nsp11,gene_disease,arteriviruses
2050,nsp15,gene_species,sars cov
2051,nsp11,gene_species,prrsv
2052,nsp15,gene_species,mhv
2055,lung injury,disease_gene,antibody
2057,illness,symptom_disease,coagulopathy
2059,arf,drug_disease,covid-19
2061,disease,disease_disease,end stage kidney disease
2063,elevation,treat_procedure_treat_procedure,hemodialysis
2064,peptide,drug_disease,pneumonia
2066,natriuretic peptide,gene_disease,pneumonia
2069,infection,disease_treat_procedure,extracorporeal circulation
2070,infection,disease_disease,clotting
2075,clinical treatment,treat_procedure_species,patient
2076,public,disease_disease,cdc
2081,ecmo,disease_treat_procedure,therapy
2082,organ failure,symptom_disease,septic shock
2090,co2,drug_treat_procedure,electrocautery
2092,gps,gene_species,patient
2095,therapy,treat_procedure_drug,ceftriaxone
2096,antibiotic therapy,treat_procedure_drug,ceftriaxone
2097,intravenous therapy,treat_procedure_drug,ceftriaxone
2098,telavancin,drug_drug,vancomycin
2100,plasma,gene_disease,spinal cord
2101,rhabdovirus,disease_disease,infection
2103,lyssavirus,disease_gene,p gene
2107,novirhabdoviruses,disease_gene,gene
2108,rhabdovirus,disease_gene,gene
2110,p3,gene_gene,ssrna
2111,p3,gene_gene,n protein
2112,fusion protein,gene_gene,green fluorescent protein
2113,gene,gene_disease,ephemeroviruses
2114,ephemeroviruses,disease_gene,gene
2115,esbl,gene_species,e. coli
2117,etm,gene_gene,esbl
2119,carbapenems,drug_treat_procedure,treatment
2120,amikacin,drug_species,e. coli
2121,diarrhoea,symptom_species,patient
2125,virus,disease_disease,acute gastroenteritis
2130,aim,treat_procedure_drug,levofloxacin
2132,azithromycin,drug_species,child
2133,macrolide,drug_species,patient
2135,macrolide,drug_treat_procedure,therapy
2137,antibiotic therapy,treat_procedure_disease,periodontitis
2138,antibiotic therapy,treat_procedure_disease,severe periodontitis
2139,antibiotic therapy,treat_procedure_disease,chronic periodontitis
2140,orf3,gene_gene,gene
2141,u1,gene_disease,virus
2144,enteral nutrition,treat_procedure_gene,tube
2145,enteral nutrition,treat_procedure_treat_procedure,nasogastric tube
2146,feeding tube,treat_procedure_treat_procedure,extubation
2147,symptom,symptom_treat_procedure,presence
2149,siphoviridae,disease_gene,gene
2150,fever,symptom_symptom,tenderness
2151,coli,disease_disease,wound
2152,meningitis,disease_species,neisseria meningitidis
2153,surgery,treat_procedure_disease,disease
2154,surgery,treat_procedure_disease,valvular disease
2155,surgery,treat_procedure_disease,degenerative disease
2156,ie,disease_disease,community
2161,erythema multiforme,disease_disease,m pneumoniae
2163,pneumonia,disease_species,adenovirus
2164,aim,treat_procedure_treat_procedure,presence
2165,oleic acid,drug_disease,ali
2166,treatment,treat_procedure_disease,oedema
2167,glucose,drug_disease,sepsis
2168,glucose,drug_gene,pattern
2170,il6,gene_disease,lower
2171,tnfa,gene_disease,lower
2172,delirium,disease_disease,icu
2173,delirium,disease_species,patient
2175,air,gene_treat_procedure,presence
2176,air,gene_gene,tube
2177,paralysis,disease_gene,sd
2178,barotrauma,disease_disease,ards
2179,trauma,disease_disease,pneumonia
2180,pneumonia,disease_disease,vap
2181,trauma,disease_disease,icu
2184,finding,symptom_species,woman
2187,mechanical ventilation,treat_procedure_species,infant
2188,corticosteroid therapy,treat_procedure_species,influenza a
2189,wave,gene_disease,ecmo
2190,wave,gene_disease,influenza infection
2192,ppv,drug_drug,ppv
2193,reduction,treat_procedure_drug,ppv
2194,levosimendan,drug_species,patient
2197,map,gene_treat_procedure,infusion
2198,norovirus,disease_species,mouse
2202,rat virus,disease_species,p. pneumotropica
2206,pneumonia virus,disease_species,rat
2208,hydroxychloroquine,drug_treat_procedure,induction
2209,ppv,drug_drug,cmv
2210,icu,disease_disease,severe sepsis
2212,upper limb ischemia,disease_gene,arm
2213,limb ischemia,disease_gene,arm
2214,infection,disease_disease,severe sepsis
2216,treatment,treat_procedure_drug,colistin
2217,reduction,treat_procedure_drug,cephalosporin
2220,vancomycin,drug_treat_procedure,infusion
2221,vancomycin,drug_drug,ci
2222,vancomycin,drug_treat_procedure,continuous infusion
2230,change,treat_procedure_drug,pc
2231,thrombocytopenia,disease_treat_procedure,procedure
2232,stabilization,treat_procedure_treat_procedure,detected
2233,hypoxemia,disease_disease,respiratory acidosis
2234,hypoxemia,disease_disease,acidosis
2251,glucose,drug_drug,oxygen
2255,neutrophil dysfunction,disease_species,patient
2257,resuscitation,treat_procedure_disease,sepsis
2258,resuscitation,treat_procedure_disease,surviving sepsis
2259,presence,treat_procedure_disease,vili
2260,change,treat_procedure_species,patient
2261,enteral nutrition,treat_procedure_treat_procedure,formula
2263,triage,treat_procedure_disease,severe
2264,complete heart block,disease_disease,shock
2265,spinal anesthesia,treat_procedure_drug,bupivacaine
2266,severe sepsis,disease_disease,multiple organ failure
2267,heart disease,disease_disease,critical
2271,hydroxychloroquine,drug_gene,gene
2273,hydroxychloroquine,drug_treat_procedure,expression
2278,finding,symptom_treat_procedure,treatment
2279,mtor,gene_gene,lysosome
2287,sex,gene_disease,hypertension
2288,sex,gene_disease,arterial hypertension
2289,inferior infarction,disease_disease,vsr
2290,best,gene_treat_procedure,detected
2292,vsr,disease_disease,multiorgan failure
2294,division,treat_procedure_gene,end
2299,coronavirus disease,disease_disease,acute disease
2300,coronavirus disease,disease_disease,disease
2301,coronavirus disease,disease_disease,acute respiratory disease
2304,coronavirus disease,disease_disease,respiratory disease
2309,antibody,gene_species,camel
2315,fusion,treat_procedure_drug,vp2
2316,acute infection,disease_species,human
2319,virus,disease_species,rabies
2320,g protein,gene_treat_procedure,immunization
2321,feline calicivirus,disease_disease,virus
2324,respiratory disorder,disease_species,cattle
2325,vp4,drug_gene,capsid protein
2331,classical swine fever virus,disease_species,bovine viral diarrhea virus
2332,classical swine fever virus,disease_disease,hog cholera virus
2334,classical swine fever virus,disease_disease,bovine diarrhea virus
2335,csfv,disease_disease,disease
2336,csfv,disease_species,swine
2339,csfv,disease_disease,contagious disease
2340,csfv,disease_disease,viral disease
2343,csfv,disease_disease,contagious viral disease
2347,csfv,disease_gene,nucleocapsid
2348,rna virus,disease_gene,lipid bilayer
2349,impact,gene_disease,vt
2351,n protein,gene_species,escherichia coli
2352,intact n protein,gene_species,escherichia coli
2353,splenocytes,gene_gene,n protein
2355,n protein,gene_disease,sars cov infection
2359,th1,disease_species,mouse
2361,horseradish peroxidase,gene_gene,igg
2362,pancreatitis,disease_species,dog
2363,trypsin,gene_disease,pancreas
2364,hypoxic,disease_gene,cd11b
2367,respiratory virus,disease_disease,contagious
2369,disease,disease_species,influenza
2370,headache,symptom_disease,throat
2371,headache,symptom_symptom,fever
2372,headache,symptom_symptom,cough
2373,headache,symptom_symptom,sore throat
2374,protein,gene_disease,lymphopenia
2377,virus,disease_disease,ganglion
2379,disease,disease_disease,non-infectious disease
2380,infectious disease,disease_disease,non-infectious disease
2383,neoplasia,disease_disease,disease
2384,crf,gene_disease,disease
2385,hyperthyroidism,disease_disease,disease
2386,pain,disease_species,specie
2387,pain,symptom_species,cat
2388,respiratory syndrome,disease_species,mers
2389,disease,disease_disease,lung infection
2391,scrapie,disease_species,cattle
2394,rest,gene_disease,bed
2395,disease,disease_disease,hantavirus pulmonary syndrome
2396,carditis,disease_disease,syndrome
2398,covid-19,disease_treat_procedure,treatment
2402,hematuria,disease_disease,aki
2403,proteinuria,disease_disease,aki
2404,current treatment,treat_procedure_disease,aki
2407,dialysis,treat_procedure_treat_procedure,peritoneal dialysis
2408,peritoneal dialysis,treat_procedure_treat_procedure,peritoneal dialysis
2409,dialysis,treat_procedure_treat_procedure,dialysis
2410,peritoneal dialysis,treat_procedure_treat_procedure,dialysis
2411,spike protein,gene_gene,ace2 receptor
2412,spike protein,gene_gene,cell
2413,illness,symptom_symptom,fever
2414,scrub typhus,disease_disease,infectious disease
2415,scrub typhus,disease_disease,disease
2417,high fever,disease_disease,headache
2418,orchitis,disease_species,sow
2419,orchitis,disease_species,boar
2420,reproductive failure,disease_species,sow
2422,inoculation,treat_procedure_species,pig
2423,doxycycline,drug_drug,hydroxychloroquine
2424,doxycycline,drug_species,child
2425,vtec,gene_gene,o157
2426,hepatosplenomegaly,symptom_disease,liver
2427,plague,disease_disease,lymphadenitis
2429,bubonic plague,disease_disease,lymphadenitis
2430,pasteurellosis,disease_species,cat
2431,nausea,symptom_disease,anuria
2433,botulism,disease_species,human
2435,congenital infection,disease_treat_procedure,childbirth
2436,enteritis,disease_symptom,abdominal pain
2437,brain,disease_gene,csf
2439,toll,gene_gene,end
2440,abdominal discomfort,symptom_disease,coma
2441,discomfort,symptom_disease,coma
2442,acidosis,disease_symptom,seizure
2443,acidosis,disease_disease,coma
2445,acidosis,disease_disease,hypoglycemia
2448,acidosis,disease_disease,depression
2449,acidosis,disease_disease,blindness
2465,therapy,treat_procedure_species,child
2466,serotypes,disease_species,person
2467,h1,gene_species,person
2468,vtec,gene_species,cattle
2469,impact,gene_treat_procedure,cannulation
2470,cannulation,treat_procedure_treat_procedure,endotracheal intubation
2471,intravenous cannulation,treat_procedure_treat_procedure,endotracheal intubation
2472,intravenous cannulation,treat_procedure_treat_procedure,intubation
2473,cannulation,treat_procedure_treat_procedure,intubation
2474,impact,gene_treat_procedure,intravenous cannulation
2475,dialysis,treat_procedure_disease,aki
2480,ce,treat_procedure_disease,me
2483,primate,disease_disease,primate
2485,syndrome coronavirus,disease_disease,respiratory disease
2486,severe acute respiratory syndrome coronavirus,disease_disease,respiratory disease
2488,middle east respiratory syndrome coronavirus,disease_disease,respiratory disease
2489,respiratory syndrome coronavirus,disease_disease,respiratory disease
2493,acute respiratory syndrome coronavirus,disease_disease,respiratory disease
2494,severe acute respiratory syndrome coronavirus,disease_disease,disease
2497,cys,drug_drug,leu
2498,cgg,drug_drug,phe
2501,pattern,gene_drug,amino acid
2503,pca,drug_gene,coding sequence
2506,lr,gene_disease,severe
2507,sp,gene_disease,severe
2508,obesity,disease_disease,severe
2516,aim,treat_procedure_treat_procedure,fat
2519,health problem,disease_disease,disease
2520,fever,symptom_symptom,fever
2521,resection,treat_procedure_treat_procedure,aspiration
2522,resection,treat_procedure_gene,hole
2525,disease,disease_treat_procedure,treat
2526,infectious disease,disease_treat_procedure,treat
2527,chaga disease,disease_disease,disease
2529,she,gene_disease,hypertension
2531,cns,disease_disease,cytokine storm
2533,tissue,disease_gene,impact
2534,esophagus,disease_species,dog
2535,calcium,drug_disease,necrosis
2536,myoblasts,gene_gene,end
2540,induction,treat_procedure_gene,autophagy
2541,tumor necrosis factor α,gene_gene,interleukin 1
2546,axon,gene_disease,degeneration
2547,presence,treat_procedure_symptom,finding
2548,muscle atrophy,disease_disease,disease
2549,damage,gene_species,specie
2550,vascular damage,disease_species,specie
2551,deficiency,disease_gene,storage
2554,monensin,drug_species,cattle
